Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Weight Unit,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Price / International,Compare At Price / International,Status
backhoe-tractor-work,Backhoe Tractor Work,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADHOE,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,2000 00,,FALSE,TRUE,,,,,??,???,draft
bondcrete,Bondcrete,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADBG,FALSE,Unit,Gallon,,,,,,0.0,kg,,0,deny,manual,3230 00,,FALSE,TRUE,,,,,??,???,draft
bondcrete,Bondcrete,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADBQ,FALSE,Unit,Quart,,,,,,0.0,kg,,0,deny,manual,1750 00,,FALSE,TRUE,,,,,??,???,draft
cement-30-perlbretail,Cement 30 Perlbretail,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADC,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1580 00,,FALSE,TRUE,,,,,??,???,draft
latex,Latex,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADCAL,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,600 00,,FALSE,TRUE,,,,,??,???,draft
silicone-sealant-100,Silicone Sealant 100,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADCAS,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1370 00,,FALSE,TRUE,,,,,??,???,draft
silicone-latex,Silicone Latex,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADCAS+L,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,900 00,,FALSE,TRUE,,,,,??,???,draft
crazy-glue,Crazy Glue,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADCG,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,250 00,,FALSE,TRUE,,,,,??,???,draft
silicone-tube,Silicone Tube,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADCTTB,FALSE,Color,Black,,,,,,0.0,kg,,0,deny,manual,720 00,,FALSE,TRUE,,,,,??,???,draft
silicone-tube,Silicone Tube,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADCTTC,FALSE,Color,Clear,,,,,,0.0,kg,,0,deny,manual,750 00,,FALSE,TRUE,,,,,??,???,draft
silicone-tube,Silicone Tube,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADCTTG,FALSE,Color,Grey,,,,,,0.0,kg,,0,deny,manual,770 00,,FALSE,TRUE,,,,,??,???,draft
silicone-tube,Silicone Tube,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADCTTR,FALSE,Color,Red,,,,,,0.0,kg,,0,deny,manual,830 00,,FALSE,TRUE,,,,,??,???,draft
silicone-tube,Silicone Tube,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADCTTW,FALSE,Color,White,,,,,,0.0,kg,,0,deny,manual,730 00,,FALSE,TRUE,,,,,??,???,draft
cement-white-lb,Cement White Lb,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADCW,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,80 00,,FALSE,TRUE,,,,,??,???,draft
dap-glue,Dap Glue,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADDG236ml,FALSE,Unit,236 Ml 8 OZ,,,,,,0.0,kg,,0,deny,manual,1000 00,,FALSE,TRUE,,,,,??,???,draft
dap-glue,Dap Glue,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADDGP,FALSE,Unit,PINT,,,,,,0.0,kg,,0,deny,manual,1875 00,,FALSE,TRUE,,,,,??,???,draft
dap-glue,Dap Glue,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADDGQ,FALSE,Unit,QUART,,,,,,0.0,kg,,0,deny,manual,2800 00,,FALSE,TRUE,,,,,??,???,draft
epoxy,Epoxy,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADE4,FALSE,Option,4,,,,,,0.0,kg,,0,deny,manual,900 00,,FALSE,TRUE,,,,,??,???,draft
epoxy,Epoxy,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADE5,FALSE,Option,5,,,,,,0.0,kg,,0,deny,manual,950 00,,FALSE,TRUE,,,,,??,???,draft
filling-foam,Filling Foam,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADFF,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,1500 00,,FALSE,TRUE,,,,,??,???,draft
loctite-glue,Loctite Glue,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADGCLT,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,250 00,,FALSE,TRUE,,,,,??,???,draft
office-glue-pritt-tube,Office Glue Pritt Tube,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADGOP,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,410 00,,FALSE,TRUE,,,,,??,???,draft
grout,Grout,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADGRTs,FALSE,Type,Sanded,,,,,,0.0,kg,,0,deny,manual,4500 00,,FALSE,TRUE,,,,,??,???,draft
grout,Grout,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADGRTU,FALSE,Type,Unsanded,,,,,,0.0,kg,,0,deny,manual,4800 00,,FALSE,TRUE,,,,,??,???,draft
gluestick,Gluestick,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADGS11G,FALSE,Weight,11 Gram,,,,,,0.0,kg,,0,deny,manual,150 00,,FALSE,TRUE,,,,,??,???,draft
joint-compound,Joint Compound,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADJC5G,FALSE,Unit,5 Gallon,,,,,,0.0,kg,,0,deny,manual,6900 00,,FALSE,TRUE,,,,,??,???,draft
joint-compound,Joint Compound,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADJCG,FALSE,Unit,Gallon,,,,,,0.0,kg,,0,deny,manual,2400 00,,FALSE,TRUE,,,,,??,???,draft
joint-compound,Joint Compound,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADJCQ,FALSE,Unit,Quart,,,,,,0.0,kg,,0,deny,manual,350 00,,FALSE,TRUE,,,,,??,???,draft
joint-tape,Joint Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADJCT250f,FALSE,Length,2 X 300 Ft Roll,,,,,,0.0,kg,,0,deny,manual,1850 00,,FALSE,TRUE,,,,,??,???,draft
joint-tape,Joint Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADJCT500f,FALSE,Length,2 X 500 Ft Roll,,,,,,0.0,kg,,0,deny,manual,2500 00,,FALSE,TRUE,,,,,??,???,draft
pvc-pipe-cleaner,Pvc Pipe Cleaner,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPC1,FALSE,Unit,1 Pint,,,,,,0.0,kg,,0,deny,manual,2910 00,,FALSE,TRUE,,,,,??,???,draft
pvc-pipe-cleaner,Pvc Pipe Cleaner,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPC1/2,FALSE,Unit,1 2 Pt 8 Oz,,,,,,0.0,kg,,0,deny,manual,1500 00,,FALSE,TRUE,,,,,??,???,draft
pipe-cleaner,Pipe Cleaner,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPC1/4,FALSE,Unit,1 4 Pint,,,,,,0.0,kg,,0,deny,manual,850 00,,FALSE,TRUE,,,,,??,???,draft
ponal,Ponal,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPg,FALSE,Unit,Gal,,,,,,0.0,kg,,0,deny,manual,4295 00,,FALSE,TRUE,,,,,??,???,draft
ponal,Ponal,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPQ,FALSE,Unit,Quart,,,,,,0.0,kg,,0,deny,manual,1500 00,,FALSE,TRUE,,,,,??,???,draft
ponal,Ponal,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPSQ,FALSE,Unit,Super 3 Quart,,,,,,0.0,kg,,0,deny,manual,1700 00,,FALSE,TRUE,,,,,??,???,draft
ponal,Ponal,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPT,FALSE,Unit,Tube 120 G Pattex,,,,,,0.0,kg,,0,deny,manual,500 00,,FALSE,TRUE,,,,,??,???,draft
tangit,Tangit,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPTW/D1/4,FALSE,Unit,Wet Dry 1 4 PT,,,,,,0.0,kg,,0,deny,manual,1550 00,,FALSE,TRUE,,,,,??,???,draft
tangit,Tangit,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPTW/D.5,FALSE,Unit,Wet Dry 1 2 PT,,,,,,0.0,kg,,0,deny,manual,1700 00,,FALSE,TRUE,,,,,??,???,draft
tangit,Tangit,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPTW/D1,FALSE,Unit,Wet And Dry 1 Pint,,,,,,0.0,kg,,0,deny,manual,3450 00,,FALSE,TRUE,,,,,??,???,draft
pvc-cement,Pvc Cement,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPVCC12,FALSE,Unit,1 2 Pint,,,,,,0.0,kg,,0,deny,manual,1730 00,,FALSE,TRUE,,,,,??,???,draft
pvc-cement,Pvc Cement,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPVCC14,FALSE,Unit,1 4 Pint,,,,,,0.0,kg,,0,deny,manual,1220 00,,FALSE,TRUE,,,,,??,???,draft
pvc-cement,Pvc Cement,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPVVC1,FALSE,Unit,Pint,,,,,,0.0,kg,,0,deny,manual,3360 00,,FALSE,TRUE,,,,,??,???,draft
tangit-tube,Tangit Tube,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPVCCLT25ML,FALSE,Unit,25 Ml,,,,,,0.0,kg,,0,deny,manual,380 00,,FALSE,TRUE,,,,,??,???,draft
tangit-tube,Tangit Tube,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPVCCLT50ml,FALSE,Unit,50 Ml,,,,,,0.0,kg,,0,deny,manual,430 00,,FALSE,TRUE,,,,,??,???,draft
tangit,Tangit,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPVCHW1/4,FALSE,Unit,1 4 PINT Hot Water,,,,,,0.0,kg,,0,deny,manual,985 00,,FALSE,TRUE,,,,,??,???,draft
pattex,Pattex,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPXPT,FALSE,Unit,1 2 Pint,,,,,,0.0,kg,,0,deny,manual,1200 00,,FALSE,TRUE,,,,,??,???,draft
pattex,Pattex,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPXQT,FALSE,Unit,Quart,,,,,,0.0,kg,,0,deny,manual,2875 00,,FALSE,TRUE,,,,,??,???,draft
pattex,Pattex,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADPXTU,FALSE,Unit,Tube,,,,,,0.0,kg,,0,deny,manual,650 00,,FALSE,TRUE,,,,,??,???,draft
saxit,Saxit,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADSAX,FALSE,Unit,Qt,,,,,,0.0,kg,,0,deny,manual,600 00,,FALSE,TRUE,,,,,??,???,draft
sure-coat,Sure Coat,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADSC22,FALSE,Weight,22 Lb,,,,,,0.0,kg,,0,deny,manual,1100 00,,FALSE,TRUE,,,,,??,???,draft
shoe-glue-super-glue,Shoe Glue Super Glue,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADSG,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,300 00,,FALSE,TRUE,,,,,??,???,draft
box-tape-packagingtape-clear-and-brown,Box Tape Packagingtape Clear And Brown,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTB,FALSE,Title,Default Title,,,,,,0.0,kg,,0,deny,manual,290 00,,FALSE,TRUE,,,,,??,???,draft
cello-tape,Cello Tape,,croftshill-enterprise,Hardware > Building Consumables > Hardware Glue & Adhesives,,ADTC1'',FALSE,Length,1 72 Yds,,,,,,0.0,kg,,0,deny,manual,370 00,,FALSE,TRUE,,,,,??,???,draft
