"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"65171de4e2260e38d2e45ac3","3028bbcf-3ccf-4216-8115-3ed7b693dd8f","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h","Cloud Grey","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Light Grey</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons:  </em></strong>Grey Resin </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>","MDCCGWL01","","","","","","","","","","","","","1147.50","0.00","No","Unlimited","/suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696696348515-SUK5K5W9VCMC94VLOFVO/WL2233001_Grey_Suit.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696014035243-CL6UXWUFHJOCO88PAPTM/7D82E646-E61C-42A8-ADE4-D901F419E901_1_105_c.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696023943389-QBCYPTKLSKK3EJLE7C24/WL2233001_Grey.jpg"
"651725410ce790421ef5a6b3","fc62eee2-9f8a-4075-8c96-f4f74562fd10","PHYSICAL","shop","barry-black-two-piece-suit","Barry Black","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Black</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Black Resin</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>","MDCBBWL35","","","","","","","","","","","","","1147.50","0.00","No","Unlimited","/suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696015733700-FDIBHE5UIYMQMKQGS8XL/WL2233035_Black.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696015748255-K2F070CCS0W2FEKJEB3O/CB3BC3FB-43BC-4D46-92CC-1A3D0C5D0F21_1_105_c.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696023851771-AYOXVMU5YDWHIPOZ30AV/WL2233035_Black.jpg"
"651726f7a67a9025b11d9fd0","48ee63d5-a3ce-433b-8c6a-644ba4567375","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x","Cobalt Blue","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Cobalt </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Charcoal, Brown Real Horn</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>","MDCCBWL18","","","","","","","","","","","","","1147.50","0.00","No","Unlimited","/suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696696152552-GECYFOOY6W30EAZCKGQ2/WL2233018_Blue_Suit.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696016211941-FKLTFHSVB4ALHT2FWZXF/B15F0598-8DC4-4F18-86D6-5CF2FB07FB41_1_105_c.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696023690064-HO5OB55TH6KJGVSHIV09/WL2233018_Blue.jpg"
"651727daf62645542c17403a","5c4fe126-ae37-4f98-8197-74235a744390","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy","East Brown","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Copper Brown</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Brown Real Horn </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>","MDCEBWL07","","","","","","","","","","","","","1147.50","0.00","No","Unlimited","/suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695922652-W63RU817F9HKOWU65ZFE/WL2233007_Med_Brown_Suit.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696023648177-4LLTPL4QK50EIC4EMXJH/873F7CDC-AEF5-420A-8745-A164D6A7BAFB_1_105_c.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696023629434-OWM5RXG21USQVZB5NX0F/WL2233007_Brown.jpg"
"651729a9ec487d077ef20003","fdbaf945-85d4-4e34-a307-ce709ecc26b3","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd","Ecru Sand","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Ecru </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Ecru Urea Button</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>","MDCESTWL05","","","","","","","","","","","","","1147.50","0.00","No","Unlimited","/suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696017955240-PI0X7JBSKLK2O3X74DCK/WL2233005_Tan_Suit.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696017992524-1V5E3RT1ABM58NB1UGQG/BBCF5AC2-9547-461C-AD65-820F9174D7C5_1_201_a.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696023520951-QEU8ZSUM6DDSMW9ROSF6/WL2233005_Tan.jpg"
"65173941ce9a35015b741c63","ac6b60b3-9554-496e-8766-d560a0b81044","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh","Forest Green","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Forest Green</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Dark Brown Real Horn </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>","MDCFGWL54","","","","","","","","","","","","","1147.50","0.00","No","Unlimited","/suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695588647-GZOA0D23AJRL14T5V17G/WL2233054_Green_Suit.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696020910305-JJ9IM2KXCV9BD46CV9HR/56061B3B-72CF-46F6-92BD-1C45049E069A_1_105_c.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696023465956-2HR435K0QCDSIOPEYID1/WL2233054_Green.jpg"
"651739f78a55c639c37de0db","f05b71e9-e274-4236-94dd-d05b6ffc43b2","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-gekck","Hershey Brown","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Chocolate Brown</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons:  </em></strong>Brown Real Horn </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>","MDCHBWL08","","","","","","","","","","","","","1147.50","0.00","No","Unlimited","/suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695513835-PP5H6812MDBIE57094P4/WL2233008_Brown_Suit.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696021019204-A6KVOZCYY3681Z061FXI/7DD0CA6D-8C16-4E0E-9B3B-5DE576C2FF1E_1_105_c.jpeg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696023349123-X1D3K1M1JLN0HMUUZK29/WL2233008_Chocolate_Brown.jpg"
"65173a83201fa54b89797d2c","c63ef297-0330-4fd9-98de-5e7842299fb4","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-gekck-d33zm","Latte Brown","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Light Brown</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Brown Corozo Button</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>","MDCLBL06","","","","","","","","","","","","","1147.50","0.00","No","Unlimited","/suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695388667-W14B4I6FBRZHBBLWMMGV/WL2233006_Brown_Suits.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696047968717-GJPTXWM3H2GTR0964U22/WL2233006_Brown_Pant.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696047891544-LPA554MCFSQLNZP0MCO1/WL2233006_Brown.jpg"
"65173d028d98585a02e9e996","9117486a-4615-4521-8bb6-ff123d1232f8","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-gekck-d33zm-234cb","Marcum Grey","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Medium Grey</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Grey Resin Button</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>","MDCMBWL10","","","","","","","","","","","","","1147.50","0.00","No","Unlimited","/suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695294012-3UP3MKOX3OZRQFCV7PL9/WL2233010_Med_Grey_Suit.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696021858825-SXJFYGZJUXQIZNO237CX/WL2233010_Med_Grey_Pant.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696023266569-CTFDRWJ5RZ5L4HF0L96M/WL2233008_Med_Grey.jpg"
"65173e425cf56f235463f987","9020bed1-0906-4cb1-be69-8bbda2d55e25","PHYSICAL","shop","i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-gekck-d33zm-234cb-jg5lx-6x743","Richard Blue","<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Blue</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Charcoal Grey, Brown Real Horn</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>","MDCRBWL23","","","","","","","","","","","","","1147.50","0.00","No","Unlimited","/suits","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696270643812-IJHQHA0BPKSEMXFEZCHC/WL2233023_Rich_Blue_Pindot.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696022181259-SDP6JRCUX3VQ9F7PUR7C/WL2233023_Rich_Blue_Pant.jpg https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696023140872-58NOGL8H9PVV40VNUY31/WL2233023_Blue.jpg"
