Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
i8rd78qcs61beu0ypbwd5xkf8qva0h,Cloud Grey,"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Light Grey</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons:  </em></strong>Grey Resin </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>",,,Physical,,TRUE,,,,,,,MDCCGWL01,,,,continue,manual,1147.50,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696696348515-SUK5K5W9VCMC94VLOFVO/WL2233001_Grey_Suit.jpg,1,Cloud Grey,FALSE,Cloud Grey,,,,,MDCCGWL01,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696696348515-SUK5K5W9VCMC94VLOFVO/WL2233001_Grey_Suit.jpg,g,,,TRUE,,,TRUE,,,active
barry-black-two-piece-suit,Barry Black,"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Black</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Black Resin</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>",,,Physical,,TRUE,,,,,,,MDCBBWL35,,,,continue,manual,1147.50,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696015733700-FDIBHE5UIYMQMKQGS8XL/WL2233035_Black.jpg,2,Barry Black,FALSE,Barry Black,,,,,MDCBBWL35,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696015733700-FDIBHE5UIYMQMKQGS8XL/WL2233035_Black.jpg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x,Cobalt Blue,"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Cobalt </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Charcoal, Brown Real Horn</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>",,,Physical,,TRUE,,,,,,,MDCCBWL18,,,,continue,manual,1147.50,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696696152552-GECYFOOY6W30EAZCKGQ2/WL2233018_Blue_Suit.jpg,3,Cobalt Blue,FALSE,Cobalt Blue,,,,,MDCCBWL18,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696696152552-GECYFOOY6W30EAZCKGQ2/WL2233018_Blue_Suit.jpg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy,East Brown,"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Copper Brown</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Brown Real Horn </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>",,,Physical,,TRUE,,,,,,,MDCEBWL07,,,,continue,manual,1147.50,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695922652-W63RU817F9HKOWU65ZFE/WL2233007_Med_Brown_Suit.jpg,4,East Brown,FALSE,East Brown,,,,,MDCEBWL07,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695922652-W63RU817F9HKOWU65ZFE/WL2233007_Med_Brown_Suit.jpg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd,Ecru Sand,"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Ecru </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Ecru Urea Button</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>",,,Physical,,TRUE,,,,,,,MDCESTWL05,,,,continue,manual,1147.50,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696017955240-PI0X7JBSKLK2O3X74DCK/WL2233005_Tan_Suit.jpg,5,Ecru Sand,FALSE,Ecru Sand,,,,,MDCESTWL05,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696017955240-PI0X7JBSKLK2O3X74DCK/WL2233005_Tan_Suit.jpg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh,Forest Green,"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Forest Green</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Dark Brown Real Horn </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>",,,Physical,,TRUE,,,,,,,MDCFGWL54,,,,continue,manual,1147.50,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695588647-GZOA0D23AJRL14T5V17G/WL2233054_Green_Suit.jpg,6,Forest Green,FALSE,Forest Green,,,,,MDCFGWL54,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695588647-GZOA0D23AJRL14T5V17G/WL2233054_Green_Suit.jpg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-gekck,Hershey Brown,"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Chocolate Brown</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons:  </em></strong>Brown Real Horn </p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>",,,Physical,,TRUE,,,,,,,MDCHBWL08,,,,continue,manual,1147.50,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695513835-PP5H6812MDBIE57094P4/WL2233008_Brown_Suit.jpg,7,Hershey Brown,FALSE,Hershey Brown,,,,,MDCHBWL08,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695513835-PP5H6812MDBIE57094P4/WL2233008_Brown_Suit.jpg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-gekck-d33zm,Latte Brown,"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Light Brown</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Brown Corozo Button</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>",,,Physical,,TRUE,,,,,,,MDCLBL06,,,,continue,manual,1147.50,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695388667-W14B4I6FBRZHBBLWMMGV/WL2233006_Brown_Suits.jpg,8,Latte Brown,FALSE,Latte Brown,,,,,MDCLBL06,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695388667-W14B4I6FBRZHBBLWMMGV/WL2233006_Brown_Suits.jpg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-gekck-d33zm-234cb,Marcum Grey,"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Medium Grey</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Grey Resin Button</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>",,,Physical,,TRUE,,,,,,,MDCMBWL10,,,,continue,manual,1147.50,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695294012-3UP3MKOX3OZRQFCV7PL9/WL2233010_Med_Grey_Suit.jpg,9,Marcum Grey,FALSE,Marcum Grey,,,,,MDCMBWL10,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696695294012-3UP3MKOX3OZRQFCV7PL9/WL2233010_Med_Grey_Suit.jpg,g,,,TRUE,,,TRUE,,,active
i8rd78qcs61beu0ypbwd5xkf8qva0h-ahf9x-f9kdy-y75pd-hz8hh-gekck-d33zm-234cb-jg5lx-6x743,Richard Blue,"<h2 style=""white-space:pre-wrap;""><strong><em>The Details</em></strong></h2><p class="""" style=""white-space:pre-wrap;""><strong><em>Fabric: </em></strong>100% Wool</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Pattern: </em></strong>Solid</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Color: </em></strong>Blue</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Lining Fabric:</em></strong> Bemberg, Fully Lined</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Buttons: </em></strong>Charcoal Grey, Brown Real Horn</p><p class="""" style=""white-space:pre-wrap;""><strong><em>Construction: </em></strong>Half Canvas</p>",,,Physical,,TRUE,,,,,,,MDCRBWL23,,,,continue,manual,1147.50,,TRUE,TRUE,,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696270643812-IJHQHA0BPKSEMXFEZCHC/WL2233023_Rich_Blue_Pindot.jpg,10,Richard Blue,FALSE,Richard Blue,,,,,MDCRBWL23,new,TRUE,https://images.squarespace-cdn.com/content/v1/6302dd5543b7817450550a44/1696270643812-IJHQHA0BPKSEMXFEZCHC/WL2233023_Rich_Blue_Pindot.jpg,g,,,TRUE,,,TRUE,,,active
